Id,SalePrice
1461,117272.71092950684
1462,163341.7164947618
1463,185776.7591790998
1464,199374.64430314285
1465,199016.48941272445
1466,168254.85580387697
1467,176845.15095211656
1468,160393.03330621475
1469,196790.1144094948
1470,112623.32214475323
1471,179863.31991076897
1472,98951.51288146932
1473,94256.71199768475
1474,144259.54799871054
1475,107763.46283023265
1476,376280.0059841562
1477,242646.37484676082
1478,300083.5923240552
1479,290134.10095466254
1480,469822.2977861608
1481,331731.18348697684
1482,209097.19062483966
1483,179524.50906122135
1484,161871.28302798056
1485,195991.5274251131
1486,191008.23037983055
1487,332681.67958382476
1488,224998.78683996692
1489,195445.0991610075
1490,236721.7478366593
1491,194010.38103189899
1492,89054.92502507768
1493,189506.17988128265
1494,288017.24477011827
1495,293858.0732016271
1496,230596.18746784693
1497,180668.84539026723
1498,187683.36857295365
1499,168497.58905539627
1500,159840.28709377433
1501,181229.33297807552
1502,151430.14113566797
1503,275739.38894711406
1504,248447.86655336394
1505,228713.59217336716
1506,191159.94915123985
1507,236243.96780132625
1508,203881.14353686917
1509,156672.93190297886
1510,143006.39470571728
1511,163052.46821180795
1512,175274.45594789647
1513,151655.2829272296
1514,159123.39742514247
1515,196360.81114683856
1516,157022.2902603571
1517,186876.82460428122
1518,127813.9186259287
1519,210066.4492237735
1520,126918.05579618258
1521,130817.1545584742
1522,178250.6812474945
1523,109531.95644493893
1524,125795.87458421844
1525,114210.47085225713
1526,107333.912409056
1527,111790.11578258991
1528,130617.15993928949
1529,151723.89159749617
1530,182011.91611964785
1531,102649.8091108768
1532,91872.28247504163
1533,141212.83511665527
1534,129563.76276364416
1535,145596.9134976644
1536,107860.93346200876
1537,57509.53727417768
1538,144209.23713042532
1539,199218.73084499055
1540,87556.00432346149
1541,141593.32458991275
1542,141631.06068079927
1543,181266.67788827425
1544,86736.00227802491
1545,115580.17966148852
1546,142429.20770066674
1547,130982.75047058631
1548,134326.7414061574
1549,115562.24256426746
1550,137663.74029532063
1551,105600.91709413857
1552,122300.77680760573
1553,139808.55986531664
1554,115115.70129286952
1555,168958.71102663226
1556,87595.9019901844
1557,104745.53274147438
1558,106988.91602377406
1559,68389.79713799132
1560,123479.00016412909
1561,122815.58526717723
1562,134304.99572086305
1563,123284.8235816376
1564,150360.4016791542
1565,146224.32097905417
1566,245044.8995987429
1567,79291.13401056167
1568,241775.50928698073
1569,126874.97287379068
1570,143545.44180956628
1571,118325.47400303645
1572,135424.59102844907
1573,240435.54723447622
1574,119209.58412187947
1575,224473.36786141616
1576,239473.32968920143
1577,176282.35906646587
1578,151137.56111906355
1579,143465.07217650613
1580,199285.70560714082
1581,160217.1752212295
1582,122916.2219176457
1583,277541.9854102427
1584,207996.2538715345
1585,135083.06526198174
1586,68578.81480294805
1587,114413.78338455799
1588,152065.75514864989
1589,96510.8858159288
1590,128876.92052500007
1591,89729.27693277592
1592,118272.91486754426
1593,125665.00686438331
1594,119973.41476028196
1595,104016.61882193724
1596,214647.41636136078
1597,197502.237353048
1598,244221.84425014778
1599,170163.8359400433
1600,161166.42191368877
1601,63851.7681131116
1602,118241.69818501628
1603,73633.3341786338
1604,252687.3115221621
1605,245841.47264755392
1606,166344.5697542158
1607,184998.8505490009
1608,220483.9331234761
1609,181511.44419123215
1610,157813.88293271355
1611,140450.61133704343
1612,172121.7327374243
1613,165082.26601185036
1614,124898.55904957125
1615,93178.39226177163
1616,78329.26685075917
1617,91937.60366342094
1618,137258.2213247915
1619,138428.66461275017
1620,155263.34489989563
1621,133675.01086616862
1622,141399.72220910306
1623,255555.21351093793
1624,213343.5036971312
1625,117001.86361162984
1626,174595.16701203116
1627,193300.17761043584
